time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging,frequency
2024-12-03 19:30:11+00:00,32.45895469095558,-111.21703530661762,572.0,2.0,180.1,4.13,21,gps,0.6,0.8,1.0,-27.5,,,,76,,1733254211000,2024-12-03T12:30:11.000-07:00,31888.879773981276,1733224973825,Default Profile,True,1
2024-12-03 20:26:19+00:00,32.45852471975189,-111.21667096354186,575.9188566387825,3.5,312.6,4.49,23,gps,0.6,0.8,1.0,-27.5,,,,76,,1733254272000,2024-12-03T12:31:12.000-07:00,32008.820001638735,1733224973825,Default Profile,True,53
2024-12-03 20:27:20+00:00,32.460471144877374,-111.22639504261316,568.0,2.5,270.3,23.16,22,gps,0.6,0.8,1.0,-27.5,,,,71,,1733257640000,2024-12-03T13:27:20.000-07:00,33410.50147448853,1733224973825,Default Profile,True,1
2024-12-03 20:28:21+00:00,32.46050940826535,-111.24119270592928,566.0,2.0,269.6,22.65,22,gps,0.6,0.8,1.0,-27.5,,,,71,,1733257701000,2024-12-03T13:28:21.000-07:00,34798.85474941291,1733224973825,Default Profile,True,1
2024-12-03 20:29:22+00:00,32.460457775741816,-111.25592758879066,562.0,2.0,270.1,22.74,21,gps,0.6,0.8,1.0,-27.5,,,,72,,1733257762000,2024-12-03T13:29:22.000-07:00,36181.32333963211,1733224973825,Default Profile,True,1
2024-12-03 20:30:23+00:00,32.46041217818856,-111.27067127265036,561.0,2.0,269.3,22.72,23,gps,0.6,0.8,1.0,-27.5,,,,72,,1733257823000,2024-12-03T13:30:23.000-07:00,37564.61577446463,1733224973825,Default Profile,True,1
2024-12-03 20:31:24+00:00,32.4524356238544,-111.28102300688624,559.0,1.5,218.8,22.82,22,gps,0.6,0.8,1.0,-27.5,,,,72,,1733257884000,2024-12-03T13:31:24.000-07:00,38879.92535299401,1733224973825,Default Profile,True,1
2024-12-03 20:32:25+00:00,32.45121282991022,-111.29668727517128,559.0,1.5,270.2,25.42,22,gps,0.6,0.8,1.0,-27.5,,,,72,,1733257945000,2024-12-03T13:32:25.000-07:00,40355.99584340772,1733224973825,Default Profile,True,1
2024-12-03 20:33:26+00:00,32.448905291967094,-111.3043000549078,556.0,2.0,180.0,24.51,22,gps,0.6,0.8,1.0,-27.6,,,,73,,1733258006000,2024-12-03T13:33:26.000-07:00,41115.01016182494,1733224973825,Default Profile,True,1
2024-12-03 20:34:27+00:00,32.43569197598845,-111.3042950257659,555.0,2.0,179.9,23.779999,22,gps,0.6,0.8,1.0,-27.6,,,,73,,1733258067000,2024-12-03T13:34:27.000-07:00,42584.26393859783,1733224973825,Default Profile,True,1
